epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5783,2.77274,6.72995,2.31268,0.85758,0.00775,0.00791,0.00299,2.60283,3.95133,2.33604,0.000301665,0.000301665,0.000301665
2,182.524,2.48628,5.11348,2.0794,0.20852,0.03373,0.03563,0.0121,2.58904,4.13543,2.20796,0.000598679,0.000598679,0.000598679
3,271.337,2.4541,4.1942,2.09362,0.62104,0.07955,0.04637,0.0146,2.54107,3.78238,2.29673,0.000889693,0.000889693,0.000889693
4,360.49,2.4164,3.78916,2.0593,0.27204,0.11495,0.08867,0.02817,2.44944,3.52919,2.24609,0.000882003,0.000882003,0.000882003
5,449.531,2.35446,3.54421,2.0421,0.48395,0.08977,0.09013,0.03818,2.38693,3.48589,2.29697,0.000873004,0.000873004,0.000873004
6,539.048,2.28708,3.28542,2.02126,0.2118,0.17472,0.13014,0.04841,2.36934,3.18446,2.19594,0.000864004,0.000864004,0.000864004
7,628.339,2.25682,3.14297,1.95984,0.51043,0.15081,0.13513,0.04279,2.40875,3.28507,2.22181,0.000855005,0.000855005,0.000855005
8,717.425,2.23932,3.08062,1.98377,0.30602,0.16995,0.1206,0.04208,2.35712,3.19226,2.18597,0.000846006,0.000846006,0.000846006
9,805.475,2.19624,3.00676,1.95792,0.39302,0.16131,0.12939,0.04713,2.30468,3.10817,2.27848,0.000837007,0.000837007,0.000837007
10,894.642,2.17316,2.91281,1.93344,0.20717,0.20858,0.15186,0.05064,2.2933,3.2483,2.2187,0.000828008,0.000828008,0.000828008
11,982.231,2.16912,2.90388,1.93606,0.46829,0.18964,0.16926,0.05539,2.35584,2.9187,2.19514,0.000819009,0.000819009,0.000819009
12,1070.73,2.11363,2.74303,1.89608,0.21262,0.17022,0.16585,0.05808,2.30873,3.01554,2.13782,0.00081001,0.00081001,0.00081001
13,1159.73,2.09097,2.63561,1.87804,0.2367,0.21885,0.20646,0.07269,2.38811,2.88491,2.21885,0.000801011,0.000801011,0.000801011
14,1248.99,2.07598,2.63935,1.83848,0.2143,0.25693,0.17389,0.05948,2.40076,2.91836,2.23619,0.000792012,0.000792012,0.000792012
15,1336.34,2.04278,2.56397,1.82768,0.22861,0.23047,0.18177,0.06198,2.34205,2.90181,2.26979,0.000783013,0.000783013,0.000783013
16,1424.41,2.04442,2.5153,1.8259,0.27078,0.24723,0.21117,0.0676,2.40296,2.84487,2.19633,0.000774013,0.000774013,0.000774013
